origin,ori_ts,destination,des_ts,cost,k
15.0,1528290507.0,10.0,1528291593.0,0.019988268736182004,1.0
15.0,1528290507.0,8.0,1528291593.0,0.08498553852148247,1.0
6.0,1528290507.0,9.0,1528290145.0,0.07516695535764475,1.0
9.0,1528290507.0,3.0,1528290145.0,0.33426021965734626,1.0
11.0,1528290869.0,14.0,1528291593.0,0.2912980404978142,1.0
11.0,1528290869.0,2.0,1528291593.0,0.019091141878169505,1.0
2.0,1528290869.0,7.0,1528290507.0,0.33636186977293303,1.0
6.0,1528290869.0,10.0,1528291593.0,0.17315069556984655,2.0
16.0,1528291231.0,7.0,1528290507.0,0.34413814407400733,2.0
2.0,1528291231.0,8.0,1528291593.0,0.3872912008584693,1.0
8.0,1528291231.0,4.0,1528290869.0,0.18842633175427706,1.0
12.0,1528291593.0,15.0,1528292316.0,0.3969854275648554,1.0
12.0,1528291593.0,6.0,1528292316.0,0.285311823492779,1.0
14.0,1528291593.0,2.0,1528291231.0,0.0821407925029666,1.0
15.0,1528291593.0,1.0,1528291954.0,0.27777755548709004,1.0
15.0,1528291593.0,3.0,1528291954.0,0.4358202563970325,2.0
4.0,1528291593.0,15.0,1528291954.0,0.1039159617141268,1.0
2.0,1528291954.0,15.0,1528292316.0,0.12104348163903533,1.0
3.0,1528291954.0,15.0,1528291593.0,0.13490249080983668,1.0
9.0,1528291954.0,10.0,1528293040.0,0.014541765302671657,1.0
1.0,1528292316.0,10.0,1528292678.0,0.4505127535686313,1.0
1.0,1528292316.0,10.0,1528293040.0,0.09897449286273739,1.0
12.0,1528292316.0,1.0,1528293040.0,0.1843255307235506,1.0
15.0,1528292316.0,4.0,1528291954.0,0.2759275927592759,1.0
3.0,1528292316.0,10.0,1528292678.0,0.43469563357033436,1.0
5.0,1528292316.0,12.0,1528293040.0,0.11851257519733027,1.0
7.0,1528292316.0,9.0,1528291954.0,0.14505287918794196,1.0
8.0,1528292316.0,16.0,1528293402.0,0.14673823799089064,1.0
1.0,1528292678.0,10.0,1528293040.0,0.4505127535686313,1.0
1.0,1528292678.0,6.0,1528293040.0,0.30320563902972353,1.0
